lon,lat,val
124.903,24.197,0.277
124.923,24.197,0.225
124.943,24.197,0.225
124.963,24.197,0.32
124.983,24.196,0.177
125.004,24.196,0.213
125.024,24.196,0.407
125.044,24.196,0.407
125.064,24.196,0.358
125.084,24.196,0.161
125.104,24.196,0.297
125.124,24.196,0.331
125.265,24.195,0.322
119.644,24.265,0.08
119.664,24.264,0.159
119.685,24.264,0.129
119.705,24.264,0.08
119.725,24.263,0.072
119.746,24.263,0.072
119.766,24.263,0.37
119.787,24.263,0.336
119.807,24.262,0.303
119.827,24.262,0.318
119.848,24.262,0.288
124.199,24.222,0.035
124.219,24.222,0.055
124.239,24.221,0.083
124.259,24.221,0.083
124.279,24.221,0.071
124.3,24.221,0.035
124.882,24.218,0.401
124.903,24.218,0.329
124.923,24.218,0.5
124.943,24.218,0.184
124.963,24.217,0.083
124.983,24.217,0.113
125.003,24.217,0.159
125.023,24.217,0.159
125.043,24.217,0.258
125.063,24.217,0.322
125.083,24.217,0.361
125.103,24.217,0.402
125.224,24.216,0.455
125.244,24.216,0.402
125.264,24.216,0.385
119.397,24.289,0.284
119.417,24.288,0.284
119.642,24.286,0.079
119.663,24.285,0.112
119.683,24.285,0.079
119.703,24.285,0.052
119.724,24.284,0.086
119.744,24.284,0.056
119.765,24.284,0.287
119.785,24.284,0.252
119.805,24.283,0.288
119.826,24.283,0.287
119.846,24.283,0.251
124.279,24.242,0.041
124.882,24.239,0.381
124.902,24.239,0.277
124.922,24.239,0.236
124.942,24.239,0.268
124.962,24.238,0.362
124.982,24.238,0.378
125.002,24.238,0.252
125.022,24.238,0.183
125.043,24.238,0.297
125.063,24.238,0.197
125.223,24.237,0.434
125.243,24.237,0.324
125.263,24.237,0.403
130.136,24.233,0.228
119.314,24.311,0.146
119.334,24.311,0.146
119.354,24.31,0.146
119.375,24.31,0.172
119.395,24.31,0.284
119.416,24.309,0.284
119.436,24.309,0.42
119.702,24.306,0.052
119.722,24.305,0.072
119.743,24.305,0.086
119.763,24.305,0.251
119.783,24.305,0.252
119.804,24.304,0.252
119.824,24.304,0.252
125.022,24.259,0.083
125.042,24.259,0.149
125.062,24.259,0.148
125.223,24.258,0.142
125.243,24.258,0.349
125.263,24.258,0.262
119.23,24.333,0.136
119.25,24.333,0.136
119.271,24.332,0.129
119.291,24.332,0.181
119.312,24.332,0.129
119.332,24.332,0.129
119.353,24.331,0.129
119.373,24.331,0.204
119.394,24.331,0.284
119.414,24.33,0.412
119.435,24.33,0.42
119.68,24.327,0.052
119.7,24.327,0.052
119.721,24.326,0.072
119.741,24.326,0.108
119.761,24.326,0.216
119.782,24.326,0.216
119.802,24.325,0.216
119.823,24.325,0.251
124.84,24.281,0.081
124.86,24.281,0.167
125.021,24.28,0.083
125.041,24.28,0.165
125.061,24.28,0.136
125.222,24.279,0.372
137.562,24.338,0.325
119.228,24.354,0.164
119.249,24.354,0.164
119.269,24.353,0.136
119.29,24.353,0.136
119.31,24.353,0.136
119.331,24.353,0.136
119.351,24.352,0.172
119.372,24.352,0.136
119.392,24.352,0.334
119.412,24.351,0.334
119.433,24.351,0.344
119.453,24.351,0.284
119.474,24.351,0.335
119.494,24.35,0.409
119.678,24.348,0.086
119.719,24.347,0.08
119.739,24.347,0.079
119.76,24.347,0.108
119.78,24.347,0.146
119.801,24.346,0.224
119.821,24.346,0.209
124.84,24.302,0.165
124.86,24.302,0.175
119.227,24.375,0.25
119.247,24.375,0.261
119.267,24.374,0.164
119.288,24.374,0.163
119.308,24.374,0.172
119.329,24.374,0.124
119.349,24.373,0.249
119.37,24.373,0.284
119.39,24.373,0.334
119.411,24.372,0.345
119.431,24.372,0.345
119.452,24.372,0.358
119.472,24.372,0.335
119.492,24.371,0.312
119.513,24.371,0.181
119.636,24.37,0.112
119.656,24.369,0.112
119.676,24.369,0.052
119.697,24.369,0.406
119.717,24.368,0.237
119.738,24.368,0.144
119.758,24.368,0.108
119.779,24.368,0.112
119.799,24.367,0.104
119.819,24.367,0.136
124.799,24.323,0.414
124.819,24.323,0.406
124.839,24.323,0.313
124.859,24.323,0.106
138.161,24.389,0.429
119.225,24.396,0.25
119.245,24.396,0.184
119.266,24.395,0.272
119.286,24.395,0.124
119.307,24.395,0.052
119.327,24.395,0.249
119.348,24.394,0.249
119.368,24.394,0.204
119.389,24.394,0.288
119.409,24.393,0.296
119.429,24.393,0.345
119.45,24.393,0.358
119.47,24.393,0.323
119.491,24.392,0.216
119.511,24.392,0.112
119.532,24.392,0.072
119.552,24.392,0.171
119.573,24.391,0.141
119.593,24.391,0.113
119.613,24.391,0.036
119.634,24.391,0.46
119.654,24.39,0.081
119.675,24.39,0.036
119.695,24.39,0.315
119.716,24.389,0.257
119.736,24.389,0.108
119.756,24.389,0.108
119.777,24.389,0.112
119.797,24.388,0.08
119.818,24.388,0.146
124.758,24.344,0.131
124.778,24.344,0.161
124.798,24.344,0.374
124.818,24.344,0.365
124.838,24.344,0.448
124.859,24.344,0.299
138.163,24.41,0.419
138.183,24.41,0.408
138.204,24.411,0.163
119.203,24.417,0.21
119.223,24.417,0.122
119.244,24.417,0.184
119.264,24.416,0.323
119.285,24.416,0.164
119.305,24.416,0.086
119.325,24.416,0.124
119.346,24.415,0.124
119.366,24.415,0.164
119.387,24.415,0.163
119.407,24.415,0.345
119.53,24.413,0.13
119.55,24.413,0.342
119.571,24.412,0.208
119.591,24.412,0.352
119.612,24.412,0.566
119.632,24.412,0.444
119.653,24.411,0.334
119.673,24.411,0.086
119.694,24.411,0.452
